Airline,Departure_Airport,Arrival_Airport,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Route,route_avg_passengers,route_avg_purchase_lead,route_avg_length_of_stay,route_prop_extra_baggage,route_prop_preferred_seat,route_prop_in_flight_meals,route_booking_conversion_rate,Departure_Month,Departure_DayOfWeek,Departure_Hour,Is_Weekend,Route_Freq
3,3,0,161,2,803,148.42,47,1,2,1,0,2,2,3,6.9,0.0,91,1,1,2,24,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,3,2,6,0,0.0158
3,3,2,130,2,1605,228.57,30,0,1,2,0,1,0,0,5.3,2.0,45,0,0,1,26,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,12,5,9,1,0.0148
4,5,5,169,2,908,232.45,46,1,1,0,1,0,3,0,7.0,0.0,63,0,0,1,45,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,3,23,0,0.0161
1,6,5,227,2,63,526.43,75,0,2,3,0,0,2,3,4.8,9.0,57,0,1,2,53,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,1,8,0,0.0166
3,4,3,150,2,628,324.14,23,1,0,2,1,2,3,1,4.4,3.0,58,0,0,1,35,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,1,4,22,0,0.0191
1,7,4,155,2,1409,402.53,28,0,1,1,0,0,1,3,4.4,11.0,68,0,0,2,60,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,5,1,1,0.0172
1,0,6,170,2,794,356.89,69,0,1,1,1,0,3,2,4.9,17.0,37,0,0,2,6,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,2,14,0,0.0155
1,2,4,82,2,1273,414.0,59,1,2,1,0,1,1,0,3.5,11.0,49,0,0,1,20,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,6,13,1,0.0153
0,0,6,191,2,1196,201.48,50,0,2,1,1,0,0,3,8.2,16.0,57,0,0,2,6,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,3,0,0,0.0155
4,1,3,201,2,1115,444.95,60,0,2,1,1,1,2,0,8.3,1.0,116,0,1,0,11,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,4,1,0,0.0152
4,6,7,245,2,818,218.26,77,1,2,0,0,1,1,2,8.5,4.0,87,0,0,1,55,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,0,10,0,0.0155
2,2,0,101,2,1148,338.0,39,1,2,0,3,1,0,3,7.9,7.0,9,0,0,1,16,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,1,14,0,0.0141
0,2,5,108,1,1167,388.83,28,0,2,1,1,0,1,1,5.4,13.0,115,0,0,2,21,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,2,1,0,0.0173
4,1,3,237,2,1544,276.14,38,0,1,0,1,0,3,1,5.1,3.0,13,0,0,2,11,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,2,7,0,0.0152
3,3,1,188,2,596,359.22,20,1,1,0,0,0,0,1,4.1,8.0,87,0,0,2,25,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,0,12,0,0.0172
